날짜,제목,링크
20250716,코스피·코스닥 동반 하락,https://n.news.naver.com/mnews/article/421/0008374007
20250716,코스피·코스닥 동반 하락,https://n.news.naver.com/mnews/article/421/0008374006
20250716,3200선 아래로 떨어진 코스피,https://n.news.naver.com/mnews/article/421/0008374005
20250716,하락 마감한 코스피,https://n.news.naver.com/mnews/article/421/0008374004
20250716,"코스피, 3200선 아래로",https://n.news.naver.com/mnews/article/421/0008374002
20250716,숨고르기 들어간 코스피,https://n.news.naver.com/mnews/article/421/0008374001
20250716,"코스피 3200 선 아래로, 3186.38 포인트 장마감",https://n.news.naver.com/mnews/article/003/0013366687
20250716,"코스피 3200 선 아래로, 3186.38 포인트 장마감",https://n.news.naver.com/mnews/article/003/0013366686
20250716,"코스피 3200선 아래로, 코스닥 동반 하락 장마감",https://n.news.naver.com/mnews/article/003/0013366685
20250716,"코스피 3200선 아래로, 코스닥 동반 하락 장마감",https://n.news.naver.com/mnews/article/003/0013366684
20250716,"코스피 3200선 아래로 하락, 원달러 환율 상승",https://n.news.naver.com/mnews/article/003/0013366683
20250716,코스피 3200선 아래로 장마감,https://n.news.naver.com/mnews/article/003/0013366681
20250716,"3200선 아래로 내려간 코스피, 원달러 환율 상승",https://n.news.naver.com/mnews/article/003/0013366680
20250716,"NH아문디운용, ‘하나로 TDF’ 4개 빈티지서 5년 수익률 1위",https://n.news.naver.com/mnews/article/011/0004509834
20250716,"코스피, 美물가 우려 속 3,180대 하락 마감…코스닥은 약보합",https://n.news.naver.com/mnews/article/001/0015511265
20250716,"SGA, 최대주주 변경에 사흘 연속 '上'[핫스탁](종합)",https://n.news.naver.com/mnews/article/003/0013366675
20250716,"BNK금융, ‘해양도시전략팀’ 신설… 해수부 이전 선제 대응",https://n.news.naver.com/mnews/article/005/0001790114
20250716,브이엠·일정실업 이어 이오테크닉스도 '자사주 처분' 공시 위반,https://n.news.naver.com/mnews/article/031/0000949259
20250716,"신한운용 'SOL 미국양자컴퓨팅TOP10', 해외주식형 ETF 중 수익률 1위",https://n.news.naver.com/mnews/article/011/0004509830
20250716,"코스피,  0.90% 하락한 3186.38 마감…코스닥 0.08%↓(2보)",https://n.news.naver.com/mnews/article/421/0008373975
20250716,"[S리포트] ⑦""원화 스테이블코인, 없는 것보다 낫다""… 전문가들 제언",https://n.news.naver.com/mnews/article/417/0001089648
20250716,"서학개미, '테슬라→코인'으로 손바뀜…'크립토 위크'에 베팅 확대",https://n.news.naver.com/mnews/article/014/0005377932
20250716,"오아, 미래에셋비전스팩2호와 합병...9월 코스닥 입성",https://n.news.naver.com/mnews/article/014/0005377930
20250716,원·달러 환율 5.5원 오른 1385.7원 마감,https://n.news.naver.com/mnews/article/277/0005623534
20250716,"[외환] 원/달러 환율 5.5원 오른 1,385.7원(15:30 종가)",https://n.news.naver.com/mnews/article/001/0015511239
20250716,"[단독]금융당국 ""조각투자 플랫폼, 발행·유통 분리""",https://n.news.naver.com/mnews/article/008/0005222541
20250716,"코스피 3186.38(▼0.90%), 코스닥 812.23(▼0.08%), 원·달러 환율 1385.7원(▲5.5원) 마감[시황]",https://n.news.naver.com/mnews/article/003/0013366641
20250716,"[속보] 코스닥, 0.65포인트(0.08%) 내린 812.23 마감",https://n.news.naver.com/mnews/article/417/0001089646
20250716,"NH투자증권, 해외이주·자녀유학 컨설팅…이민법인 대양과 협약",https://n.news.naver.com/mnews/article/003/0013366640
20250716,[코스닥] 0.65p(0.08%) 내린 812.23 마감,https://n.news.naver.com/mnews/article/421/0008373956
20250716,[스팟]코스닥 0.65포인트(0.08%) 내린 812.23 마감,https://n.news.naver.com/mnews/article/008/0005222536
20250716,"코스닥, 0.65P 내린 812.23 마감(0.08%↓)",https://n.news.naver.com/mnews/article/277/0005623532
20250716,[코스피] 28.90p(0.90%) 내린 3186.38 마감,https://n.news.naver.com/mnews/article/421/0008373954
20250716,"코스피, 28.90P 내린 3186.38 마감(0.90%↓)",https://n.news.naver.com/mnews/article/277/0005623531
20250716,[코스닥] 0.65p(0.08%) 내린 812.23(장종료),https://n.news.naver.com/mnews/article/001/0015511219
20250716,"[속보] 코스피, 28.90포인트(0.90%) 내린 3186.38 마감",https://n.news.naver.com/mnews/article/417/0001089645
20250716,"로킷헬스케어, 300억 규모 전환사채 발행…글로벌 자금 유치",https://n.news.naver.com/mnews/article/003/0013366637
20250716,[달러·원] 환율 5.5원 오른 1385.7원 (오후 3시 30분),https://n.news.naver.com/mnews/article/421/0008373950
20250716,"코스피, 0.90%↓ 마감…시장금리 상승에 '화들짝'",https://n.news.naver.com/mnews/article/215/0001216486
20250716,[스팟]코스피 28.90포인트(0.90%) 내린 3186.38 마감,https://n.news.naver.com/mnews/article/008/0005222534
20250716,"로킷헬스케어, 글로벌 투자자들로부터 300억 전환사채 유치",https://n.news.naver.com/mnews/article/018/0006067101
20250716,자사주 소각 의무화 법안 또 나왔다…벌써 3번째,https://n.news.naver.com/mnews/article/629/0000407953
20250716,"[코스피] 28.90p(0.90%) 내린 3,186.38(장종료)",https://n.news.naver.com/mnews/article/001/0015511205
20250716,"KB자산운용, ‘RISE 단기특수은행채액티브’ 순자산 1조 원 돌파",https://n.news.naver.com/mnews/article/011/0004509822
20250716,"[S리포트] ⑥스테이블코인, 연내 제도화 추진… CBDC 병행 로드맵 주목",https://n.news.naver.com/mnews/article/417/0001089644
20250716,"거래소, 부산 사상구 ‘KRX지역아동센터’ 52호 개소 지원",https://n.news.naver.com/mnews/article/119/0002979928
20250716,"오아, 미래에셋비전스팩2호와 합병…9월 코스닥 입성",https://n.news.naver.com/mnews/article/003/0013366603
20250716,"신흥, 주당 160원 중간배당 결정",https://n.news.naver.com/mnews/article/003/0013366598
20250716,"신한투자증권, 한국예탁결제원 토큰증권 테스트베드 실증 사업 완료",https://n.news.naver.com/mnews/article/011/0004509820
20250716,"폴라리스세원, 글로벌 로보택시 시장 ‘확장 모드’ 돌입",https://n.news.naver.com/mnews/article/014/0005377918
20250716,"CJ그룹 때린 공정위, TRS 거래 대기업들 비상",https://n.news.naver.com/mnews/article/008/0005222519
20250716,"[S리포트] ⑤'통화 관리 vs 산업 발전'… 원화 스테이블코인, 한은 역할 논쟁",https://n.news.naver.com/mnews/article/417/0001089639
20250716,"이재용 대법원 판결 하루 앞두고…삼성그룹주, 엇갈린 흐름",https://n.news.naver.com/mnews/article/009/0005525918
20250716,"위메이드, '롬: 골든 에이지' 사전예약 100만 돌파",https://n.news.naver.com/mnews/article/648/0000037941
20250716,"VIP운용 ""롯데렌탈, 유상증자 철회해야…소액주주 축출 등 우려""",https://n.news.naver.com/mnews/article/008/0005222514
20250716,"GS건설, 아파트 화재 AI 대응… ""대피 시간 확보""",https://n.news.naver.com/mnews/article/417/0001089637
20250716,"환경부장관 후보자, 영풍 석포제련소 관련 대책 마련 언급",https://n.news.naver.com/mnews/article/648/0000037940
20250716,용산 최고급 복합주거 '더파크사이드 스위트' 청약 마감…최고 41대 1,https://n.news.naver.com/mnews/article/018/0006067072
20250716,"로킷헬스케어, 글로벌 투자자들 300억원 전환사채 투자 “임상 가속 및 글로벌 파트너십 강화”",https://n.news.naver.com/mnews/article/014/0005377906
20250716,"與 김현정, '자사주 3년 이내 소각 의무화' 상법 개정안 발의",https://n.news.naver.com/mnews/article/001/0015511099
20250716,"[S리포트] ④스테이블코인 도입, 핀테크·이커머스 '기회'… 금융권  '위기'",https://n.news.naver.com/mnews/article/417/0001089631
20250716,올 상반기 단기사채 520조원 발행…전년比 31%↑,https://n.news.naver.com/mnews/article/003/0013366521
20250716,"‘수요예측 부진 → 상장대박’ 반전 MNC솔루션, 대주주 투자대박 예고",https://n.news.naver.com/mnews/article/009/0005525908
20250716,2800억 미래에셋 위조 대출 분쟁 ‘강제 증거개시’ 기각,https://n.news.naver.com/mnews/article/138/0002200781
20250716,"'소비자금융 폐지' 한국씨티은행, iM뱅크와 고객 전환 제휴",https://n.news.naver.com/mnews/article/001/0015511096
20250716,"VIP자산운용, 롯데렌탈 유상증자 철회 주주서한 발송",https://n.news.naver.com/mnews/article/003/0013366518
20250716,"‘전력반도체’ 쎄미하우, 코스닥 상장 예비심사 신청",https://n.news.naver.com/mnews/article/009/0005525904
20250716,[단독]증시 불안할 때 오히려 추가수익 얻는 커버드콜 ETF 나온다,https://n.news.naver.com/mnews/article/008/0005222505
20250716,'배당소득 분리과세' 추진에 고배당주 주목…코스피보다 76% 더 올랐다,https://n.news.naver.com/mnews/article/469/0000876230
20250716,엔비디아 中 수출 ‘봉인 해제’에 삼성전자·SK하이닉스 웃는 이유?…美 반도체 관세는 ‘변수’ [투자360],https://n.news.naver.com/mnews/article/016/0002500592
20250716,"파로스아이바이오 윤정혁 대표, 자사주 매입… ""기술이전 자신감""",https://n.news.naver.com/mnews/article/011/0004509810
20250716,"티보, KT 지니TV에 메타데이터 서비스 ‘TMDB’ 및 ‘딥링크’ 데이터 탑재",https://n.news.naver.com/mnews/article/011/0004509808
20250716,"신한투자증권, 예탁원 토큰증권 테스트베드 실증 완료",https://n.news.naver.com/mnews/article/629/0000407929
20250716,"KRX, 부산 사상구 KRX지역아동센터 52호 개소 지원",https://n.news.naver.com/mnews/article/243/0000081365
20250716,"5천피 최대 걸림돌?…""1.6억 찍었다"" 뭉칫돈 여기로 우르르",https://n.news.naver.com/mnews/article/008/0005222499
20250716,"ASML, 실적 호조…반도체 수요 보여주는 순주문, 예상치 큰 폭 상회",https://n.news.naver.com/mnews/article/008/0005222498
20250716,엔비디아 'H20' 대중 수출 재개…SK하이닉스·삼성전자 수혜 부각,https://n.news.naver.com/mnews/article/003/0013366472
20250716,"'황제주' 효성중공업, 2천억 MSCI 패시브 자금 기대 [마켓딥다이브]",https://n.news.naver.com/mnews/article/215/0001216485
20250716,"'자사주 3년 내 소각 의무화' 김현정 의원, 상법개정안 발의",https://n.news.naver.com/mnews/article/003/0013366444
20250716,"E8, AI·디지털 트윈 방위산업 포럼 성료",https://n.news.naver.com/mnews/article/003/0013366445
20250716,"거래소, 시장감시본부 확대 추진…불공정 거래 감시 강화",https://n.news.naver.com/mnews/article/001/0015511042
20250716,[S리포트] ③원화 스테이블코인 법제화 시동… '디지털 결제 주권' 확보 승부수,https://n.news.naver.com/mnews/article/417/0001089623
20250716,"폴라리스세원 ""로보택시 시장 확장 모드 돌입…수주 확대 기대""",https://n.news.naver.com/mnews/article/003/0013366427
20250716,"군인공제회, '국내 부동산 개발형 블라인드펀드' 숏리스트 발표 [fn마켓워치]",https://n.news.naver.com/mnews/article/014/0005377890
20250716,"서진오토모티브, CB 전환가액 2440원으로 상향 조정",https://n.news.naver.com/mnews/article/003/0013366423
20250716,"KB자산운용, ‘RISE 단기특수은행채액티브 ETF’ 순자산 1조 돌파",https://n.news.naver.com/mnews/article/014/0005377884
20250716,"KCGI운용, 홍사욱 전 미래에셋자산운용 채권본부장 영입",https://n.news.naver.com/mnews/article/629/0000407914
20250716,"신한투자증권, 예탁원과 토큰증권 테스트베드 실증 사업 완료",https://n.news.naver.com/mnews/article/003/0013366353
20250716,2분기 '숨 고르기' 들어간 한미약품… 하반기 반전 카드,https://n.news.naver.com/mnews/article/417/0001089617
20250716,"젬스톤 x 스튜디오메타케이, Kia Inspiring Story with Kia AI 전시 콘텐츠 공개",https://n.news.naver.com/mnews/article/011/0004509795
20250716,"[S리포트] ②CBDC에 힘주는 중국, 미국 견제 가능할까",https://n.news.naver.com/mnews/article/417/0001089616
20250716,"[그래픽뉴스] 미국, '크립토 위크'… 하원서 법안 통과 '제동'",https://n.news.naver.com/mnews/article/417/0001089610
20250716,"""이번엔 다를거야""…카카오게임즈, '가디스오더' 23일 베일 벗는다",https://n.news.naver.com/mnews/article/648/0000037938
20250716,"알에프텍 자회사 한주하이텍, 대기업 뚫었다…방산 진출 본격화",https://n.news.naver.com/mnews/article/277/0005623481
20250716,"""에이피알 2Q 해외 매출 190% 성장…마진율 높아""[줌인e종목]",https://n.news.naver.com/mnews/article/421/0008373652
20250716,"신한투자증권, 예탁원 토큰증권 테스트베드 실증 완료",https://n.news.naver.com/mnews/article/648/0000037936
20250716,"한국투자증권, ELW 579종목 신규 상장",https://n.news.naver.com/mnews/article/015/0005158644
20250716,"카카오페이증권, 월간 거래자 수 100만명 돌파",https://n.news.naver.com/mnews/article/014/0005377875
20250716,[S리포트] ①미국은 왜 스테이블코인에 매달릴까… '지니어스 법안'에 쏠린 눈,https://n.news.naver.com/mnews/article/417/0001089604
20250716,"알에프텍 자회사 한주하이텍, 방산 대기업 납품…방산 진출 본격화",https://n.news.naver.com/mnews/article/003/0013366307
20250716,"뉴트리, 지노마스터 'Time to G' 캠페인 실시",https://n.news.naver.com/mnews/article/003/0013366266
20250716,"코스피, 0.89% 내린 3180선…금융주 급락세",https://n.news.naver.com/mnews/article/018/0006067002
20250716,"프로메디우스, 대한결핵협회와 결핵·골다공증 조기 발견 위한 MOU 체결",https://n.news.naver.com/mnews/article/018/0006066998
20250716,"엔에프씨, 세계 최초 유산균 PDRN 화장품 원료로 북미진출",https://n.news.naver.com/mnews/article/008/0005222467
20250716,[특징주] 중소형 화장품주 성장 주목…청담글로벌 23% 상승,https://n.news.naver.com/mnews/article/009/0005525840
20250716,中수출 재개 허용에 美 AI 반도체주 들썩…엔비디아 또 신고가,https://n.news.naver.com/mnews/article/009/0005525838
20250716,롯데렌탈 유상증자에 행동주의펀드 공세 본격화,https://n.news.naver.com/mnews/article/009/0005525835
20250716,유가 상승했지만 환율 하락 영향에… 수입물가 5개월 연속 내림세,https://n.news.naver.com/mnews/article/469/0000876216
20250716,"알에프텍 자회사 한주하이텍, 방산 대기업 납품… 방산 진출 본격화",https://n.news.naver.com/mnews/article/009/0005525831
20250716,"녹십자, 수두백신 '배리셀라주' 베트남 품목허가 획득",https://n.news.naver.com/mnews/article/417/0001089597
20250716,"트럼프 '의약품 관세' 현실화… 신중한 삼성, SK·셀트는 '대응 끝'",https://n.news.naver.com/mnews/article/417/0001089595
20250716,"'상장폐지 위기' 셀레스트라, 새주인 찾는다 [fn마켓워치]",https://n.news.naver.com/mnews/article/014/0005377857
20250716,"트럼프, '지니어스 법안' 통과 설득…""11명 찬성 합의""",https://n.news.naver.com/mnews/article/277/0005623443
20250716,"KCGI자산운용, 홍사욱 전 미래에셋운용 본부장 영입",https://n.news.naver.com/mnews/article/009/0005525822
20250716,"삼성운용 K방산TOP10 ETF, 상장일 개인 순매수 100억 기록",https://n.news.naver.com/mnews/article/008/0005222458
20250716,"코스피, 3,180선서 등락…외인, 현·선물 1조 '매도'",https://n.news.naver.com/mnews/article/215/0001216464
20250716,"테슬라, 인도 판매 시작…고관세에 모델Y 값 중국 2배",https://n.news.naver.com/mnews/article/277/0005623437
20250716,"카카오페이증권, 월간 거래자 수 100만명 돌파",https://n.news.naver.com/mnews/article/009/0005525819
20250716,"KODEX K방산TOP10, 상장일 개인 순매수 100억 돌파",https://n.news.naver.com/mnews/article/009/0005525818
20250716,"웨스팅하우스 10개 대형 원자로 건설, 두산에너빌 수혜 기대",https://n.news.naver.com/mnews/article/421/0008373460
20250716,올해 상반기 단기사채 520조원 발행…전년보다 31% 증가,https://n.news.naver.com/mnews/article/215/0001216463
20250716,"RISE 단기특수은행채액티브 ETF, 순자산 1조원 돌파",https://n.news.naver.com/mnews/article/009/0005525815
20250716,"‘건강기능식품’ 오아, 미래에셋비전스팩 2호와 합병 승인",https://n.news.naver.com/mnews/article/009/0005525813
20250716,상장 첫날 '168%' 급등…줄줄이 홈런에 개미들 '함박웃음' [분석+],https://n.news.naver.com/mnews/article/015/0005158623
20250716,이재용 '운명의 날' D-1…삼성그룹주는 희비 엇갈려,https://n.news.naver.com/mnews/article/243/0000081362
